id,CVE_ENT,estado,población,enfermeras_total,tasa_total,enfermeras_primer,tasa_primer,enfermeras_segundo,tasa_segundo,enfermeras_tercer,tasa_tercer,enfermeras_apoyo,tasa_apoyo,enfermeras_escuelas,tasa_escuelas,enfermeras_no_aplica,tasa_no_aplica,enfermeras_no_asignado,tasa_no_asignado,enfermeras_administrativas
20,20,Oaxaca,4132148,9652,2.335831146,3505,0.848227121,4743,1.147829168,972,0.235228748,47,0.01137423,168,0.040656821,14,0.003388068,4,0.00096802,
21,21,Puebla,6583278,13418,2.038194346,3219,0.488966135,6300,0.956970069,3509,0.533017138,25,0.0037975,165,0.025063502,61,0.009265901,15,0.0022785,
22,22,Querétaro,2368467,5562,2.348354442,1204,0.508345694,4190,1.769076791,0,0,27,0.011399779,48,0.020266274,0,0,4,0.001688856,
23,23,Quintana Roo,1857985,4418,2.377844816,847,0.455870203,3193,1.718528406,168,0.090420536,1,0.000538217,79,0.042519181,0,0,2,0.001076435,
24,24,San Luis Potosí,2822255,7364,2.609261034,1774,0.628575377,4400,1.559037011,868,0.307555483,7,0.002480286,236,0.083621076,21,0.007440858,5,0.001771633,
25,25,Sinaloa,3026943,9775,3.229330714,1777,0.587060939,7303,2.412665187,366,0.120914071,74,0.024447107,156,0.051537145,42,0.013875385,4,0.001321465,
26,26,Sonora,2944840,11034,3.74689287,1885,0.640102688,6407,2.175669985,2053,0.697151628,51,0.017318428,159,0.053992747,0,0,383,0.130058,
27,27,Tabasco,2402598,7898,3.287274858,2019,0.840340332,3412,1.420129377,2197,0.9144268,18,0.00749189,77,0.032048641,0,0,32,0.013318916,
28,28,Tamaulipas,3527735,10848,3.07506091,1714,0.485864159,7697,2.181853229,596,0.168946931,2,0.000566936,555,0.157324742,0,0,0,0,
29,29,Tlaxcala,1342977,3975,2.959842201,992,0.738657475,2369,1.763991491,424,0.315716501,3,0.002233843,143,0.106479858,10,0.007446144,4,0.002978458,
30,30,Veracruz de Ignacio de la Llave,8062579,19764,2.451324818,4654,0.577234654,10904,1.352420857,3587,0.444894866,8,0.000992238,205,0.025426107,0,0,1,0.00012403,
31,31,Yucatán,2320898,8447,3.639539523,1520,0.654918915,5124,2.207766132,1377,0.593304833,8,0.003446942,175,0.075401849,18,0.007755619,3,0.001292603,
32,32,Zacatecas,1622138,6343,3.910271506,1271,0.78353383,4802,2.960290678,0,0,17,0.010479996,128,0.078908206,2,0.001232941,64,0.039454103,
34,34,Laborando en el Extranjero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8888,8888,No Disponible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9999,9999,Total República Mexicana,126014024,361808,2.871172497,76821,0.609622624,205859,1.633619763,66282,0.525989076,813,0.006451663,6274,0.049788109,502,0.003983684,636,0.005047057,
